,benchmark,target,total_iterations,threads,terms,series,start_rate,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,workers,precision,messages_per_worker,write_percentage,num_workers,grid_size,priorities,threshold,size,solution_limit,pings,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,actors,size_percentage,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,messages,accounts,transactions,block_size,max_edge_weight,rounds,smokers,data_size,max_value,seed,columns,simulations,channels
38,Recursive Matrix Multiplication,lf-c,12,12,,,,NP,91.375,103.485,98.02799999999999,98.11791666666666,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
39,Precise Pi Computation,lf-c,12,1,,,,adaptive,129.304,137.021,129.4355,130.13991666666666,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Concurrent Dictionary,lf-c,12,12,,,,adaptive,77.839,384.677,78.961,107.99633333333333,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Logistic Map Series,lf-c,12,1,25000.0,10.0,3.46,NP,46.381,46.544,46.4595,46.45741666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A-Star Search,lf-c,12,1,,,,NP,39.496,42.232,40.499,40.57907692307693,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NQueens first N solutions,lf-c,12,12,,,,NP,224.316,242.543,225.44799999999998,227.37699999999998,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Counting Actor,lf-c,12,12,,,,adaptive,249.162,249.675,249.299,249.3306666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
45,Bank Transaction,lf-c,12,1,,,,NP,154.648,167.529,162.939,162.00566666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
46,Ping Pong,lf-c,12,1,,,,NP,95.663,96.208,95.6905,95.78033333333333,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ping Pong,lf-c,12,1,,,,adaptive,106.853,107.646,106.886,106.94558333333335,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bank Transaction,lf-c,12,12,,,,adaptive,89.87,93.762,90.86949999999999,91.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
49,Counting Actor,lf-c,12,1,,,,GEDF_NP,367.675,368.349,368.12649999999996,368.0779166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
50,Sleeping Barber,lf-c,12,12,,,,adaptive,75.556,76.581,75.90700000000001,75.95066666666668,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fork Join (throughput),lf-c,12,12,,,,adaptive,26.504,307.927,26.523,60.06666666666666,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
52,Counting Actor,lf-c,12,1,,,,adaptive,250.105,251.154,250.162,250.24400000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
53,Logistic Map Series,lf-c,12,12,25000.0,10.0,3.46,NP,489.915,668.464,545.6400000000001,551.9956666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Big,lf-c,12,1,,,,GEDF_NP,152.333,157.529,153.8365,153.90725,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
55,Philosophers,lf-c,12,1,,,,GEDF_NP,71.084,71.189,71.12049999999999,71.12833333333333,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sleeping Barber,lf-c,12,1,,,,adaptive,75.157,75.769,75.247,75.27825,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Philosophers,lf-c,12,1,,,,NP,48.4,48.518,48.458,48.45491666666667,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,Chameneos,lf-c,12,1,,,,NP,123.196,123.985,123.297,123.35458333333337,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
59,Filter Bank,lf-c,12,1,,,,GEDF_NP,283.712,287.782,284.01599999999996,284.36225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
60,NQueens first N solutions,lf-c,12,12,,,,GEDF_NP,224.649,227.486,225.5865,225.679,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Counting Actor,lf-c,12,12,,,,GEDF_NP,367.975,369.226,368.081,368.2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
62,Thread Ring,lf-c,12,1,,,,GEDF_NP,140.407,141.175,140.4265,140.50541666666666,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
63,Big,lf-c,12,12,,,,adaptive,265.373,270.317,266.2895,267.0838333333333,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
64,Ping Pong,lf-c,12,12,,,,adaptive,106.86,107.172,106.93549999999999,106.95066666666666,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Filter Bank,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
66,Big,lf-c,12,12,,,,GEDF_NP,248.151,251.221,249.6015,249.7073333333333,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
67,Precise Pi Computation,lf-c,12,12,,,,GEDF_NP,74.728,78.14,75.243,75.50899999999999,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Philosophers,lf-c,12,12,,,,NP,360.176,490.452,443.5885,430.22299999999996,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,Filter Bank,lf-c,12,1,,,,NP,190.084,190.369,190.185,190.20108333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
70,Philosophers,lf-c,12,1,,,,adaptive,48.394,49.06,48.483999999999995,48.52941666666667,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
71,All-Pairs Shortest Path,lf-c,12,12,,,,NP,144.274,166.516,146.2575,147.88333333333335,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
72,All-Pairs Shortest Path,lf-c,12,1,,,,NP,247.189,249.368,248.46300000000002,248.3150833333333,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
73,Thread Ring,lf-c,12,12,,,,adaptive,91.766,94.264,91.812,92.05858333333333,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
74,Precise Pi Computation,lf-c,12,1,,,,NP,129.44,129.952,129.51,129.56241666666665,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Cigarette Smokers,lf-c,12,1,,,,GEDF_NP,1.845,1.891,1.8515000000000001,1.8535833333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
76,Trapezoidal Approximation,lf-c,12,1,,,,GEDF_NP,136.904,137.154,136.9225,136.95808333333335,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Concurrent Sorted Linked List,lf-c,12,1,,,,adaptive,190.617,193.695,191.88299999999998,191.83241666666666,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
78,Chameneos,lf-c,12,12,,,,adaptive,128.889,602.76,312.6925,330.5274166666666,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
79,Recursive Matrix Multiplication,lf-c,12,1,,,,adaptive,171.363,177.851,171.8365,172.67041666666668,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
80,Big,lf-c,12,1,,,,NP,146.195,149.662,148.171,148.04958333333335,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
81,Cigarette Smokers,lf-c,12,12,,,,adaptive,1.869,2.111,1.939,1.9549166666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
