,benchmark,target,total_iterations,threads,workers,messages_per_worker,write_percentage,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,num_workers,size,threshold,priorities,solution_limit,precision,data_size,max_value,seed,pings,rounds,smokers,messages,columns,simulations,channels,actors,accounts,transactions,block_size,max_edge_weight,size_percentage,terms,series,start_rate,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,grid_size
91,Trapezoidal Approximation,lf-c,12,3,100.0,,,GEDF_NP,68.745,79.207,68.951,69.80258333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
92,Precise Pi Computation,lf-c,12,24,20.0,,,GEDF_NP,76.349,80.023,77.406,77.69033333333334,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Trapezoidal Approximation,lf-c,12,6,100.0,,,adaptive,68.892,69.95,69.254,69.32575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
94,Concurrent Sorted Linked List,lf-c,12,3,20.0,1500.0,10.0,GEDF_NP,202.349,261.433,240.1455,235.04483333333337,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
95,Counting Actor,lf-c,12,24,,,,adaptive,248.983,249.558,249.01100000000002,249.06675000000004,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NQueens first N solutions,lf-c,12,6,,,,NP,220.917,223.349,221.96949999999998,222.17441666666664,20.0,12.0,4.0,10.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Radix Sort,lf-c,12,24,,,,adaptive,516.926,522.305,517.3855,517.8080833333335,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,A-Star Search,lf-c,12,24,,,,GEDF_NP,221.106,510.737,361.515,355.92046153846155,20.0,,2014.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
99,Concurrent Sorted Linked List,lf-c,12,6,20.0,1500.0,10.0,GEDF_NP,229.428,258.78,247.22449999999998,245.23499999999999,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
100,Chameneos,lf-c,12,3,,,,adaptive,126.645,204.854,127.946,156.02516666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
101,Chameneos,lf-c,12,24,,,,NP,310.797,396.976,354.9425,355.7078333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
102,Chameneos,lf-c,12,24,,,,GEDF_NP,381.35,459.72,411.9705,412.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
103,Ping Pong,lf-c,12,24,,,,GEDF_NP,146.215,149.69,146.337,146.90425000000002,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Filter Bank,lf-c,12,6,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Producer Consumer (bounded),lf-c,12,3,,,,GEDF_NP,115.0,115.775,115.35249999999999,115.35433333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
106,Radix Sort,lf-c,12,6,,,,NP,367.952,383.077,369.907,370.75991666666664,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,All-Pairs Shortest Path,lf-c,12,3,,,,GEDF_NP,138.969,142.772,140.255,140.51341666666667,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
108,Precise Pi Computation,lf-c,12,3,20.0,,,NP,70.169,74.613,70.695,70.90525000000001,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Cigarette Smokers,lf-c,12,6,,,,adaptive,1.801,1.93,1.822,1.8295833333333331,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Precise Pi Computation,lf-c,12,24,20.0,,,NP,74.732,78.296,76.703,76.82475000000001,,,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Logistic Map Series,lf-c,12,24,,,,NP,455.377,657.401,562.8230000000001,574.35525,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,
112,Trapezoidal Approximation,lf-c,12,24,100.0,,,NP,69.045,71.308,69.771,69.79500000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,
113,Filter Bank,lf-c,12,24,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Thread Ring,lf-c,12,6,,,,adaptive,91.143,93.267,91.205,91.36783333333334,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,All-Pairs Shortest Path,lf-c,12,6,,,,adaptive,141.658,145.148,143.036,143.21416666666667,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
116,Concurrent Sorted Linked List,lf-c,12,24,20.0,1500.0,10.0,NP,356.09,451.927,422.2265,416.25658333333337,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
117,Producer Consumer (bounded),lf-c,12,24,,,,NP,119.395,123.187,120.4435,120.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,
118,Thread Ring,lf-c,12,24,,,,GEDF_NP,141.121,141.707,141.185,141.24791666666667,,,,,,,,,,1000000.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,All-Pairs Shortest Path,lf-c,12,24,,,,GEDF_NP,151.638,175.585,152.541,154.68133333333333,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
120,Recursive Matrix Multiplication,lf-c,12,6,20.0,,,NP,90.456,99.359,96.06700000000001,95.79958333333332,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,
121,All-Pairs Shortest Path,lf-c,12,3,,,,NP,137.345,138.982,138.551,138.35708333333332,198.0,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
122,Sleeping Barber,lf-c,12,3,,,,GEDF_NP,75.344,75.634,75.4265,75.44158333333333,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,
123,Chameneos,lf-c,12,6,,,,adaptive,128.902,255.705,190.612,183.13341666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,
124,Counting Actor,lf-c,12,6,,,,adaptive,249.126,250.125,249.20600000000002,249.28791666666666,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Philosophers,lf-c,12,3,,,,GEDF_NP,268.523,278.354,276.14300000000003,274.9350833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,
