,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
66,Logistic Map Series,lf-cpp,12,2,,master,[],default,118.368,132.046,128.31,127.24808333333334,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bank Transaction,lf-cpp,12,2,,master,[],default,114.251,123.99,116.6095,117.44191666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
68,Cigarette Smokers,lf-cpp,12,2,,master,[],default,8.95396,9.34126,8.96071,8.996535,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,Ping Pong,lf-cpp,12,18,,master,[],default,148.889,149.504,149.1035,149.12475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
70,Precise Pi Computation,lf-cpp,12,18,,master,[],default,91.0277,100.567,95.4165,95.46786666666667,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Precise Pi Computation,lf-cpp,12,2,,master,[],default,71.2711,73.1446,71.7678,71.84340833333333,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Cigarette Smokers,lf-cpp,12,9,,master,[],default,8.97946,9.01146,8.98581,8.988251666666667,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,Radix Sort,lf-cpp,12,18,,master,[],default,444.756,457.625,450.425,451.19716666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
74,Counting Actor,lf-cpp,12,18,1000000.0,master,[],default,341.037,345.769,341.1335,341.5910833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Filter Bank,lf-cpp,12,18,,master,[],default,275.292,284.406,277.27250000000004,277.71125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
76,Thread Ring,lf-cpp,12,9,,master,[],default,180.849,181.208,181.015,180.98741666666663,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
77,NQueens first N solutions,lf-cpp,12,2,,master,[],default,363.962,375.539,368.83,369.06483333333335,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
78,Concurrent Sorted Linked List,lf-cpp,12,2,,master,[],default,205.777,213.494,207.36849999999998,207.84883333333332,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
79,A-Star Search,lf-cpp,12,9,,master,[],default,361.248,684.345,546.5915,517.2450833333334,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
80,Bank Transaction,lf-cpp,12,18,,master,[],default,125.467,140.651,132.5035,132.74075000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
81,Cigarette Smokers,lf-cpp,12,4,,master,[],default,8.97406,9.02106,8.98291,8.985743333333334,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
82,Logistic Map Series,lf-cpp,12,4,,master,[],default,62.582,65.008,63.930949999999996,63.88023333333333,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bank Transaction,lf-cpp,12,4,,master,[],default,121.483,151.268,128.1205,129.32883333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,
