,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
65,Radix Sort,lf-c,12,18,,,adaptive,516.123,517.035,516.6465000000001,516.5966666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,
66,Bank Transaction,lf-c,12,2,,,adaptive,108.956,145.841,141.83100000000002,137.09633333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
67,Ping Pong,lf-c,12,18,,,NP,94.282,94.923,94.324,94.41333333333334,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Trapezoidal Approximation,lf-c,12,18,,,GEDF_NP,68.974,70.181,69.4225,69.48875,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
69,Trapezoidal Approximation,lf-c,12,4,,,adaptive,68.635,69.276,69.0395,68.99508333333334,,,,,,,,,,,,,,,,100.0,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
70,Recursive Matrix Multiplication,lf-c,12,4,,,NP,91.433,108.803,97.755,97.50916666666666,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Philosophers,lf-c,12,9,,,adaptive,48.209,1536.281,48.318,221.81816666666666,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Counting Actor,lf-c,12,18,,,GEDF_NP,367.958,371.549,368.061,368.6123333333333,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,Filter Bank,lf-c,12,18,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
74,A-Star Search,lf-c,12,9,,,NP,330.378,599.025,500.003,489.59346153846155,,,20.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,2014.0,,,,,,,,30.0,,,,
75,Chameneos,lf-c,12,2,,,NP,196.603,199.82,198.223,198.23483333333334,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Filter Bank,lf-c,12,9,,,adaptive,196.092,2230.584,196.1385,365.6790833333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
77,Producer Consumer (bounded),lf-c,12,4,,,NP,113.295,117.987,113.776,114.18925000000002,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Cigarette Smokers,lf-c,12,9,1000.0,200.0,GEDF_NP,1.845,1.881,1.855,1.8554166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Philosophers,lf-c,12,2,,,adaptive,48.29,49.821,48.3365,48.45675000000001,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Big,lf-c,12,4,,,adaptive,206.897,213.173,210.02949999999998,210.02591666666663,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
81,Concurrent Sorted Linked List,lf-c,12,4,,,NP,205.11,223.526,218.161,215.41949999999997,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,1.0,,,
82,Recursive Matrix Multiplication,lf-c,12,9,,,NP,91.902,100.658,97.2355,96.81208333333335,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bank Transaction,lf-c,12,9,,,GEDF_NP,96.307,100.155,98.0505,98.04433333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
84,Fork Join (throughput),lf-c,12,9,,,GEDF_NP,220.276,276.918,256.3165,255.86791666666667,60.0,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
85,Logistic Map Series,lf-c,12,9,,,GEDF_NP,670.763,781.845,743.3924999999999,732.8653333333332,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
