,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,meetings,chameneos,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
43,Ping Pong,lf-cpp,12,4,,master,[],default,134.655,147.498,136.248,137.47125000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
44,Fork Join (throughput),lf-cpp,12,4,10000.0,master,[],default,27.646,32.051,28.383699999999997,28.791524999999996,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fork Join (throughput),lf-cpp,12,9,10000.0,master,[],default,28.4605,32.5467,30.2867,30.322275,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Trapezoidal Approximation,lf-cpp,12,18,,master,[],default,75.316,85.037,77.9556,78.664225,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
47,Trapezoidal Approximation,lf-cpp,12,9,,master,[],default,75.5353,83.206,78.13255,79.041975,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
48,Recursive Matrix Multiplication,lf-cpp,12,18,,master,[],default,80.827,90.3685,82.66399999999999,83.09970833333334,,,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Concurrent Dictionary,lf-cpp,12,9,,master,[],default,90.3323,98.4882,93.30975,93.40964999999998,,,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
50,Big,lf-cpp,12,9,500.0,master,[],default,200.303,293.275,275.58500000000004,269.548,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,All-Pairs Shortest Path,lf-cpp,12,18,,master,[],default,370.99,404.003,389.59749999999997,389.7408333333333,,,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ping Pong,lf-cpp,12,9,,master,[],default,140.996,157.251,143.963,144.76858333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
53,Concurrent Sorted Linked List,lf-cpp,12,18,,master,[],default,218.57,304.324,229.308,237.10666666666668,,,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
54,Producer Consumer (bounded),lf-cpp,12,4,,master,[],default,197.411,220.23,207.9855,208.3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
55,A-Star Search,lf-cpp,12,18,,master,[],default,269.125,503.257,361.3635,383.88275,,,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
56,Big,lf-cpp,12,18,500.0,master,[],default,260.183,281.401,270.01300000000003,270.12275,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Big,lf-cpp,12,2,500.0,master,[],default,196.896,227.426,205.113,209.47725,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Philosophers,lf-cpp,12,9,,master,[],default,88.0612,95.093,89.71515,90.34584999999998,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NQueens first N solutions,lf-cpp,12,9,,master,[],default,428.438,455.511,437.514,440.2055,,,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
60,Thread Ring,lf-cpp,12,18,,master,[],default,194.752,216.316,202.3675,203.91,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
61,Concurrent Sorted Linked List,lf-cpp,12,9,,master,[],default,218.424,256.869,224.12,228.84133333333332,,,,,20.0,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0
